cyg_id,sv_num,ddm_ant,scale_factor
1,41,2,0.96049845
1,41,3,1.2298326
1,43,2,0.96540713
1,43,3,1.2354088
1,44,2,1.0006828
1,44,3,1.2299292
1,45,2,0.9221896
1,45,3,1.1703091
1,48,2,1.1250044
1,48,3,1.4461962
1,50,2,1.2464008
1,50,3,1.5783265
1,51,2,0.90772057
1,51,3,1.1386784
1,52,2,1.2256763
1,52,3,1.5356797
1,53,2,1.2310566
1,53,3,1.5558258
1,55,2,1.1786952
1,55,3,1.4981899
1,56,2,0.88823044
1,56,3,1.1277884
1,57,2,1.2333053
1,57,3,1.5551074
1,58,2,1.2468029
1,58,3,1.5448998
1,59,2,0.96831226
1,59,3,1.2313064
1,61,2,1.0400817
1,61,3,1.3045143
1,62,2,0.9838785
1,62,3,1.2531179
1,63,2,0.98252714
1,63,3,1.2682765
1,64,2,1.0032918
1,64,3,1.2772211
1,65,2,0.9259865
1,65,3,1.1710252
1,66,2,1.017499
1,66,3,1.3105564
1,67,2,1.0183352
1,67,3,1.2940539
1,68,2,1.0209733
1,68,3,1.2892219
1,69,2,0.97924495
1,69,3,1.2560346
1,70,2,1.213555
1,70,3,1.5049292
1,71,2,1.0066816
1,71,3,1.2702118
1,72,2,1.0098009
1,72,3,1.3169005
1,73,2,1.1416613
1,73,3,1.4233243
1,74,2,0.9366009
1,74,3,1.1684456
1,75,2,0.9947143
1,75,3,1.2101673
1,76,2,0.9807716
1,76,3,1.2446681
1,77,2,0.9719001
1,77,3,1.2227486
1,78,2,1.0271066
1,78,3,1.3029906
1,79,2,0.95772433
1,79,3,1.1815789
2,41,2,1.2095958
2,41,3,1.1047957
2,43,2,1.2186725
2,43,3,1.1049929
2,44,2,1.2408643
2,44,3,1.1063998
2,45,2,1.1595986
2,45,3,1.0545098
2,48,2,1.4511606
2,48,3,1.305348
2,50,2,1.5827832
2,50,3,1.4396507
2,51,2,1.1575336
2,51,3,1.0341522
2,52,2,1.5556468
2,52,3,1.4043611
2,53,2,1.5583806
2,53,3,1.4183424
2,55,2,1.5206852
2,55,3,1.366215
2,56,2,1.1372683
2,56,3,1.0167975
2,57,2,1.5661309
2,57,3,1.4032564
2,58,2,1.5483689
2,58,3,1.4077424
2,59,2,1.2336524
2,59,3,1.114098
2,61,2,1.2980258
2,61,3,1.1841048
2,62,2,1.232478
2,62,3,1.1324539
2,63,2,1.250077
2,63,3,1.152971
2,64,2,1.266251
2,64,3,1.1684641
2,65,2,1.157842
2,65,3,1.062176
2,66,2,1.298323
2,66,3,1.1712906
2,67,2,1.3055239
2,67,3,1.1717103
2,68,2,1.2972463
2,68,3,1.1788112
2,69,2,1.2405128
2,69,3,1.1301386
2,70,2,1.5161338
2,70,3,1.4057906
2,71,2,1.2733237
2,71,3,1.148163
2,72,2,1.2893194
2,72,3,1.190024
2,73,2,1.4317961
2,73,3,1.3039722
2,74,2,1.1661357
2,74,3,1.0463862
2,75,2,1.2531157
2,75,3,1.0991039
2,76,2,1.2470249
2,76,3,1.117232
2,77,2,1.2392204
2,77,3,1.1144757
2,78,2,1.2973425
2,78,3,1.1870452
2,79,2,1.2020385
2,79,3,1.0532019
3,41,2,1.3090131
3,41,3,1.1088593
3,43,2,1.2933487
3,43,3,1.1200866
3,44,2,1.3523767
3,44,3,1.1306748
3,45,2,1.2452683
3,45,3,1.0585296
3,48,2,1.5373411
3,48,3,1.3128258
3,50,2,1.6955397
3,50,3,1.4628801
3,51,2,1.2323681
3,51,3,1.0472355
3,52,2,1.6555595
3,52,3,1.4183755
3,53,2,1.6721547
3,53,3,1.4127909
3,55,2,1.6153122
3,55,3,1.379475
3,56,2,1.2093061
3,56,3,1.0274824
3,57,2,1.6810621
3,57,3,1.4209489
3,58,2,1.6739246
3,58,3,1.4079586
3,59,2,1.3201058
3,59,3,1.1300713
3,61,2,1.4020997
3,61,3,1.1857551
3,62,2,1.3262906
3,62,3,1.1389791
3,63,2,1.3441296
3,63,3,1.1703238
3,64,2,1.3591555
3,64,3,1.1762425
3,65,2,1.2365142
3,65,3,1.0743877
3,66,2,1.381822
3,66,3,1.1888819
3,67,2,1.3845345
3,67,3,1.1843202
3,68,2,1.3836323
3,68,3,1.1842854
3,69,2,1.3266383
3,69,3,1.1448989
3,70,2,1.6160274
3,70,3,1.3814496
3,71,2,1.35321
3,71,3,1.1657083
3,72,2,1.3746488
3,72,3,1.2184894
3,73,2,1.522803
3,73,3,1.2987229
3,74,2,1.2630543
3,74,3,1.0579646
3,75,2,1.3394215
3,75,3,1.1072901
3,76,2,1.3445556
3,76,3,1.1187932
3,77,2,1.342553
3,77,3,1.1286513
3,78,2,1.397035
3,78,3,1.17523
3,79,2,1.2808136
3,79,3,1.0692601
4,41,2,1.18938
4,41,3,1.3498558
4,43,2,1.1855761
4,43,3,1.3482095
4,44,2,1.2012793
4,44,3,1.3470757
4,45,2,1.1384773
4,45,3,1.2678165
4,48,2,1.4169142
4,48,3,1.5819573
4,50,2,1.5531611
4,50,3,1.7405114
4,51,2,1.12916
4,51,3,1.258124
4,52,2,1.5058123
4,52,3,1.6910418
4,53,2,1.5236089
4,53,3,1.6977038
4,55,2,1.4744711
4,55,3,1.6452602
4,56,2,1.113047
4,56,3,1.2324996
4,57,2,1.5283856
4,57,3,1.6973855
4,58,2,1.515958
4,58,3,1.6857938
4,59,2,1.2088954
4,59,3,1.3556587
4,61,2,1.2703003
4,61,3,1.4291745
4,62,2,1.2155085
4,62,3,1.3621739
4,63,2,1.2272947
4,63,3,1.4024544
4,64,2,1.2358706
4,64,3,1.4081051
4,65,2,1.1387371
4,65,3,1.2929416
4,66,2,1.2535827
4,66,3,1.4219078
4,67,2,1.26424
4,67,3,1.4262842
4,68,2,1.258885
4,68,3,1.4244249
4,69,2,1.2156587
4,69,3,1.3859417
4,70,2,1.4821571
4,70,3,1.6711478
4,71,2,1.2343513
4,71,3,1.3791715
4,72,2,1.2519445
4,72,3,1.4450995
4,73,2,1.4056698
4,73,3,1.5523764
4,74,2,1.1556655
4,74,3,1.2653148
4,75,2,1.2270434
4,75,3,1.3308713
4,76,2,1.2297055
4,76,3,1.3489094
4,77,2,1.2095113
4,77,3,1.3480486
4,78,2,1.2784535
4,78,3,1.4138184
4,79,2,1.159934
4,79,3,1.2817105
5,41,2,1.2683064
5,41,3,1.2119415
5,43,2,1.2771113
5,43,3,1.2334516
5,44,2,1.3319683
5,44,3,1.2562641
5,45,2,1.2291644
5,45,3,1.1712749
5,48,2,1.4790776
5,48,3,1.4657665
5,50,2,1.6539516
5,50,3,1.5987813
5,51,2,1.2023425
5,51,3,1.1639944
5,52,2,1.6228461
5,52,3,1.5377567
5,53,2,1.6528994
5,53,3,1.5619954
5,55,2,1.5764729
5,55,3,1.5140151
5,56,2,1.1827753
5,56,3,1.1376292
5,57,2,1.66045
5,57,3,1.5696731
5,58,2,1.6729587
5,58,3,1.5623274
5,59,2,1.3072002
5,59,3,1.2485648
5,61,2,1.3926888
5,61,3,1.3217591
5,62,2,1.3363105
5,62,3,1.2561482
5,63,2,1.3139553
5,63,3,1.2904085
5,64,2,1.325816
5,64,3,1.2897818
5,65,2,1.2159301
5,65,3,1.1781745
5,66,2,1.3514366
5,66,3,1.3185385
5,67,2,1.3626004
5,67,3,1.3131993
5,68,2,1.3722736
5,68,3,1.2997202
5,69,2,1.3132042
5,69,3,1.2622049
5,70,2,1.6268508
5,70,3,1.5182145
5,71,2,1.3390914
5,71,3,1.2891151
5,72,2,1.3461179
5,72,3,1.3245926
5,73,2,1.5100049
5,73,3,1.4387691
5,74,2,1.2467225
5,74,3,1.1778672
5,75,2,1.3377132
5,75,3,1.2450461
5,76,2,1.3328562
5,76,3,1.2512088
5,77,2,1.3287457
5,77,3,1.2342329
5,78,2,1.4000441
5,78,3,1.3029344
5,79,2,1.272097
5,79,3,1.1882805
6,41,2,1.0297676
6,41,3,1.1359787
6,43,2,1.0236901
6,43,3,1.1249228
6,44,2,1.0230896
6,44,3,1.1238328
6,45,2,1.0036229
6,45,3,1.0838653
6,48,2,1.2071803
6,48,3,1.3205849
6,50,2,1.3466702
6,50,3,1.474613
6,51,2,0.9980935
6,51,3,1.0638461
6,52,2,1.287159
6,52,3,1.3934051
6,53,2,1.3469394
6,53,3,1.4424375
6,55,2,1.2741393
6,55,3,1.3966535
6,56,2,0.9914056
6,56,3,1.0392284
6,57,2,1.3401353
6,57,3,1.4183933
6,58,2,1.3302622
6,58,3,1.4400463
6,59,2,1.0670491
6,59,3,1.1390572
6,61,2,1.1814386
6,61,3,1.2417116
6,62,2,1.0676575
6,62,3,1.1435955
6,63,2,1.0956541
6,63,3,1.1748456
6,64,2,1.0652294
6,64,3,1.2099656
6,65,2,0.9660802
6,65,3,1.0725915
6,66,2,1.1236671
6,66,3,1.202697
6,67,2,1.1283381
6,67,3,1.2151554
6,68,2,1.1076581
6,68,3,1.1805446
6,69,2,1.0685842
6,69,3,1.1523125
6,70,2,1.2798309
6,70,3,1.4283758
6,71,2,1.0699825
6,71,3,1.1953163
6,72,2,1.1138451
6,72,3,1.2321849
6,73,2,1.2242099
6,73,3,1.3297709
6,74,2,1.0129328
6,74,3,1.0837877
6,75,2,1.0722986
6,75,3,1.1130344
6,76,2,1.0852147
6,76,3,1.1604495
6,77,2,1.101016
6,77,3,1.1639954
6,78,2,1.1580089
6,78,3,1.1957295
6,79,2,1.1477969
6,79,3,1.1571629
7,41,2,1.2215267
7,41,3,1.1511352
7,43,2,1.2218581
7,43,3,1.1683503
7,44,2,1.2568151
7,44,3,1.1799304
7,45,2,1.1699121
7,45,3,1.1013983
7,48,2,1.4373078
7,48,3,1.3573229
7,50,2,1.5854313
7,50,3,1.5179858
7,51,2,1.1568453
7,51,3,1.0870842
7,52,2,1.5522376
7,52,3,1.493654
7,53,2,1.5632082
7,53,3,1.4852659
7,55,2,1.5135688
7,55,3,1.433685
7,56,2,1.1445819
7,56,3,1.0697186
7,57,2,1.5713372
7,57,3,1.465915
7,58,2,1.5642738
7,58,3,1.4723742
7,59,2,1.2373704
7,59,3,1.1801767
7,61,2,1.314844
7,61,3,1.2536962
7,62,2,1.2416865
7,62,3,1.1953878
7,63,2,1.2606105
7,63,3,1.2037163
7,64,2,1.2732211
7,64,3,1.2200651
7,65,2,1.1656327
7,65,3,1.1076864
7,66,2,1.2823367
7,66,3,1.2431495
7,67,2,1.3061005
7,67,3,1.2509255
7,68,2,1.3099321
7,68,3,1.2452126
7,69,2,1.2445649
7,69,3,1.1764367
7,70,2,1.5189681
7,70,3,1.4888654
7,71,2,1.2595104
7,71,3,1.2266498
7,72,2,1.2877407
7,72,3,1.2582467
7,73,2,1.4330156
7,73,3,1.374152
7,74,2,1.188116
7,74,3,1.1100035
7,75,2,1.2682137
7,75,3,1.1750004
7,76,2,1.2675202
7,76,3,1.1942798
7,77,2,1.2475022
7,77,3,1.1918074
7,78,2,1.3179156
7,78,3,1.26961
7,79,2,1.2125434
7,79,3,1.151745
8,41,2,1.4298707
8,41,3,1.29707
8,43,2,1.4467206
8,43,3,1.2961082
8,44,2,1.4842294
8,44,3,1.3026898
8,45,2,1.3774678
8,45,3,1.243149
8,48,2,1.7034372
8,48,3,1.531796
8,50,2,1.8956357
8,50,3,1.7235732
8,51,2,1.3731675
8,51,3,1.221561
8,52,2,1.8451464
8,52,3,1.6671586
8,53,2,1.857017
8,53,3,1.6791599
8,55,2,1.8098394
8,55,3,1.6096834
8,56,2,1.341707
8,56,3,1.1971359
8,57,2,1.882411
8,57,3,1.6594548
8,58,2,1.8559263
8,58,3,1.6629376
8,59,2,1.4551916
8,59,3,1.3180888
8,61,2,1.5577137
8,61,3,1.418571
8,62,2,1.4891403
8,62,3,1.3473144
8,63,2,1.4829165
8,63,3,1.3834805
8,64,2,1.5059018
8,64,3,1.3964794
8,65,2,1.3810166
8,65,3,1.2449757
8,66,2,1.5416659
8,66,3,1.4192963
8,67,2,1.5509782
8,67,3,1.4193835
8,68,2,1.5473262
8,68,3,1.3935776
8,69,2,1.4841378
8,69,3,1.3363582
8,70,2,1.8058014
8,70,3,1.656884
8,71,2,1.5117928
8,71,3,1.3817898
8,72,2,1.5308349
8,72,3,1.4163424
8,73,2,1.7223235
8,73,3,1.5489981
8,74,2,1.3904178
8,74,3,1.2449055
8,75,2,1.49513
8,75,3,1.3282698
8,76,2,1.4958867
8,76,3,1.330208
8,77,2,1.4805737
8,77,3,1.321945
8,78,2,1.5559781
8,78,3,1.3950573
8,79,2,1.4436946
8,79,3,1.2718236
